,Rank,Movie_Name,Year_release,IMDB_Ratings,SexNudity,Violence,Profanity,KIM Rating
94,95,Reservoir Dogs,1992,8.3,0,9,8,R
95,96,Lawrence of Arabia,1962,8.2,1,7,5,PG13
96,97,Citizen Kane,1941,8.2,4,4,5,R
97,98,Ikiru,1952,8.2,1,7,2,R
98,99,M,1931,8.2,3,7,5,R
99,100,North by Northwest,1959,8.2,,,,N/a
100,101,The Apartment,1960,8.2,8,7,5,R
101,102,Vertigo,1958,8.2,5,2,5,PG13
102,103,Am̩lie,2001,8.2,4,4,5,N/a
103,104,Double Indemnity,1944,8.2,5,8,9,R
104,105,A Clockwork Orange,1971,8.2,7,7,5,R
105,106,Full Metal Jacket,1987,8.2,8,3,4,PG13
106,107,Scarface,1983,8.2,3,5,4,PG13
107,108,Hamilton,2020,8.2,3,4,4,PG13
108,109,Incendies,2010,8.2,3,8,5,R
109,110,Heat,1995,8.2,3,9,10,R
110,111,Up,2009,8.2,1,3,0,PG
111,112,To Kill a Mockingbird,1962,8.2,8,9,5,R
112,113,The Sting,1973,8.2,1,7,1,PG13
113,114,A Separation,2011,8.2,1,4,4,PG13
114,115,Metropolis,1927,8.2,2,2,1,PG
115,116,Indiana Jones and the Last Crusade,1989,8.2,1,7,4,PG13
116,117,Die Hard,1988,8.2,4,6,5,PG13
117,118,L.A. Confidential,1997,8.2,5,7,6,R
118,119,Snatch,2000,8.2,6,8,7,R
119,120,Bicycle Thieves,1948,8.2,3,5,10,TVMA
120,121,Taxi Driver,1976,8.2,4,7,10,R
121,122,Like Stars on Earth,2007,8.2,4,6,5,PG13
122,123,1917,2019,8.2,1,8,6,R
123,124,Dangal,2016,8.2,1,5,3,PG13
124,125,Downfall,2004,8.2,4,3,4,PG13
125,126,Top Gun: Maverick,2022,8.2,3,4,5,PG13
126,127,For a Few Dollars More,1965,8.2,6,4,5,PG13
127,128,Batman Begins,2005,8.2,2,6,3,PG13
128,129,The Kid,1921,8.2,1,7,1,PG13
129,130,Some Like It Hot,1959,8.2,5,3,8,R
130,131,The Father,2020,8.2,7,8,8,R
131,132,The Wolf of Wall Street,2013,8.2,10,4,10,R
132,133,All About Eve,1950,8.2,1,1,1,NR
133,134,Green Book,2018,8.2,4,5,5,PG13
134,135,Judgment at Nuremberg,1961,8.2,4,5,7,R
135,136,The Truman Show,1998,8.2,1,3,3,PG
136,137,Ran,1985,8.2,3,5,5,R
137,138,Casino,1995,8.2,5,9,10,R
138,139,There Will Be Blood,2007,8.2,3,7,3,R
139,140,Pan's Labyrinth,2006,8.2,2,8,5,R
140,141,Shutter Island,2010,8.2,7,9,6,R
141,142,Unforgiven,1992,8.2,3,6,5,R
142,143,The Sixth Sense,1999,8.2,3,6,3,PG13
143,144,Jurassic Park,1993,8.2,2,6,4,PG13
144,145,A Beautiful Mind,2001,8.2,4,5,4,PG13
145,146,The Treasure of the Sierra Madre,1948,8.1,1,7,1,PG13
146,147,Yojimbo,1961,8.1,2,3,5,R
147,148,Monty Python and the Holy Grail,1975,8.1,1,6,1,PG
148,149,No Country for Old Men,2007,8.1,1,9,5,R
149,150,Kill Bill: Vol. 1,2003,8.1,6,10,6,R
150,151,The Great Escape,1963,8.1,5,7,5,PG13
151,152,The Thing,1982,8.1,3,10,6,R
152,153,Rashomon,1950,8.1,1,1,1,NR
153,154,Finding Nemo,2003,8.1,0,3,0,G
154,155,Spider-Man: No Way Home,2021,8.1,2,6,4,PG13
155,156,The Elephant Man,1980,8.1,7,8,6,R
156,157,Chinatown,1974,8.1,5,3,4,PG
157,158,Raging Bull,1980,8.1,6,3,8,NR
158,159,V for Vendetta,2005,8.1,6,7,5,R
159,160,Gone with the Wind,1939,8.1,9,9,6,R
160,161,Dial M for Murder,1954,8.1,4,5,5,PG13
161,162,Howl's Moving Castle,2004,8.1,7,6,10,R
162,163,"Lock, Stock and Two Smoking Barrels",1998,8.1,5,9,10,R
163,164,Inside Out,2015,8.1,1,3,1,PG
164,165,The Secret in Their Eyes,2009,8.1,7,3,4,PG13
165,166,"Three Billboards Outside Ebbing, Missouri",2017,8.1,2,7,10,R
166,167,Prisoners,2013,8.1,1,7,9,R
167,168,Trainspotting,1996,8.1,9,6,10,R
168,169,The Bridge on the River Kwai,1957,8.1,9,9,6,R
169,170,Guardians of the Galaxy Vol. 3,2023,8.1,1,7,5,PG13
170,171,Fargo,1996,8.1,5,7,8,R
171,172,Warrior,2011,8.1,3,7,5,PG13
172,173,Gran Torino,2008,8.1,4,7,10,R
173,174,Catch Me If You Can,2002,8.1,5,4,5,PG13
174,175,My Neighbor Totoro,1988,8.1,3,4,3,PG13
175,176,Million Dollar Baby,2004,8.1,2,6,5,PG13
176,177,Children of Heaven,1997,8.1,1,4,4,PG13
177,178,Klaus,2019,8.1,,,,N/a
178,179,Blade Runner,1982,8.1,5,7,2,R
179,180,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,3,7,3,PG13
180,181,The Gold Rush,1925,8.1,1,7,1,PG13
181,182,12 Years a Slave,2013,8.1,8,8,5,R
182,183,Before Sunrise,1995,8.1,3,0,5,R
183,184,The Grand Budapest Hotel,2014,8.1,6,6,6,R
184,185,Ben-Hur,1959,8.1,2,6,1,PG13
185,186,Gone Girl,2014,8.1,8,6,9,R
186,187,On the Waterfront,1954,8.1,9,9,6,R
187,188,Barry Lyndon,1975,8.1,3,1,0,PG
188,189,The General,1926,8.1,1,7,1,PG13
189,190,Wild Strawberries,1957,8.1,4,5,4,N/a
190,191,In the Name of the Father,1993,8.1,1,2,3,PG
191,192,The Deer Hunter,1978,8.1,1,7,1,PG13
192,193,Hacksaw Ridge,2016,8.1,4,9,4,R
193,194,The Third Man,1949,8.1,7,8,6,R
194,195,The Wages of Fear,1953,8.1,1,7,1,PG13
195,196,Memories of Murder,2003,8.1,4,7,5,PG13
196,197,Sherlock Jr.,1924,8.1,2,6,3,PG13
197,198,Wild Tales,2014,8.1,7,4,8,R
198,199,Mr. Smith Goes to Washington,1939,8.1,3,2,2,PG
199,200,Mad Max: Fury Road,2015,8.1,5,8,5,R
200,201,Dead Poets Society,1989,8.1,5,9,7,R
201,202,Mary and Max,2009,8.1,2,6,2,PG13
202,203,"Monsters, Inc.",2001,8.1,1,4,1,G
203,204,How to Train Your Dragon,2010,8.1,2,3,1,PG
204,205,Jaws,1975,8.1,3,1,0,PG
205,206,The Seventh Seal,1957,8.1,1,7,1,PG13
206,207,Room,2015,8.1,5,5,5,R
207,208,Tokyo Story,1953,8.1,1,3,1,G
208,209,The Big Lebowski,1998,8.1,5,5,10,R
209,210,Ford v Ferrari,2019,8.1,2,5,5,PG13
210,211,The Passion of Joan of Arc,1928,8.0,1,7,1,PG13
211,212,Hotel Rwanda,2004,8.0,4,7,5,PG13
212,213,Ratatouille,2007,8.0,2,3,1,G
213,214,Rocky,1976,8.0,4,6,3,PG13
214,215,Platoon,1986,8.0,4,8,5,R
215,216,Logan,2017,8.0,5,8,10,R
216,217,Spotlight,2015,8.0,4,4,5,R
217,218,The Terminator,1984,8.0,1,7,1,PG13
218,219,Jai Bhim,2021,8.0,7,7,10,R
219,220,Before Sunset,2004,8.0,5,1,5,R
220,221,Rush,2013,8.0,8,7,6,R
221,222,Stand by Me,1986,8.0,8,1,5,R
222,223,Network,1976,8.0,6,5,5,TVMA
223,224,The Best Years of Our Lives,1946,8.0,1,7,1,PG13
